# BEAST v1.8.2, r6687
# Generated Mon Aug 17 12:27:56 EEST 2015 [seed=1439803657804]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-1730330.6979123356	68.99736083852741	-1730399.6952731742	0.2959055935675143	0.075	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0024	-1730399.6952731742	80.07872754771438
1000	-1701781.0245117808	23.829941788660086	-1701804.8544535695	0.0674908529018467	0.18695090111575244	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005065250954950471	-1701804.8544535695	38.61238637708156
2000	-1691942.992428334	-5.1818423528484345	-1691937.810585981	0.2639248982438057	0.2859500336131628	2.798932845552592	0.2500000001	0.2493610396444405	0.2506389603555595	0.2499999999	0.32721905451792277	0.0016920298339888967	-1691937.810585981	2.602593310971089
3000	-1668873.92444483	-2.320252941823103	-1668871.6041918881	1.142991385679956	0.351849756291838	2.798932845552592	0.25857153325872045	0.23142406992032735	0.2506389603555595	0.25936543646539273	0.32721905451792277	6.912036027116628E-4	-1668871.6041918881	0.8045062611059803
4000	-1664976.2929444818	-14.502388860251239	-1664961.7905556215	1.7957708720610326	0.5330792375938503	2.798932845552592	0.26092242060999193	0.22461498883657907	0.2550971540880363	0.25936543646539273	0.2752973964651648	4.744289138878146E-4	-1664961.7905556215	-13.120210272773178
5000	-1664042.1771221545	-46.50986788558941	-1663995.667254269	4.420737660845664	1.135023937927248	4.370448297543461	0.26092242060999193	0.22461498883657907	0.2550971540880363	0.25936543646539273	0.26594907784128174	2.054678573157968E-4	-1663995.667254269	-47.35018420337551
6000	-1663742.0636284915	-68.64607195340643	-1663673.417556538	8.541756075530497	1.9220990427508262	4.370448297543461	0.26092242060999193	0.22461498883657907	0.2550971540880363	0.25936543646539273	0.21305792670786786	9.9704861740289E-5	-1663673.417556538	-71.13636485672744
7000	-1659930.7194289786	-65.33491691178395	-1659865.3845120668	8.901630626176958	1.9409634066154213	4.370448297543461	0.26092242060999193	0.22461498883657907	0.24955256322252292	0.2649100273309061	0.1948080665685191	9.805747786253912E-5	-1659865.3845120668	-67.89180299060102
8000	-1659649.0943376557	-54.85140476360003	-1659594.2429328922	6.7361975783684125	1.2885976456949453	3.8751035215045637	0.2614378147838125	0.22461498883657907	0.24955256322252292	0.2643946331570855	0.1948080665685191	1.3043324950728726E-4	-1659594.2429328922	-57.32688891044222
9000	-1656794.7742377152	-65.51982545365524	-1656729.2544122615	9.089467885533518	2.168335543117309	3.8751035215045637	0.2614378147838125	0.22102441198998526	0.24955256322252292	0.2679852100036793	0.1948080665685191	9.667536701624467E-5	-1656729.2544122615	-68.0777779997451
10000	-1656781.0915089145	-59.545204218368305	-1656721.546304696	7.912757884996296	1.7691983359834376	3.8751035215045637	0.2614378147838125	0.22102441198998526	0.24955256322252292	0.2679852100036793	0.15472355905912585	1.1204078073424083E-4	-1656721.546304696	-62.10613759896525
11000	-1652289.3837037582	-69.5155613522932	-1652219.868142406	9.788746713510815	1.850235156911597	3.8751035215045637	0.2614378147838125	0.22102441198998526	0.24156621332939232	0.2759715598968099	0.15330288610538934	8.884560077474894E-5	-1652219.868142406	-72.65456181718714
12000	-1647556.0372801784	-45.9577614096226	-1647510.0795187687	5.768421059429703	1.1681133495586993	3.8751035215045637	0.2614378147838125	0.2208485613102757	0.23213324818123757	0.2855803757246742	0.1216050084533045	1.5480649233202292E-4	-1647510.0795187687	-48.159788585859175
13000	-1647221.9011742591	-70.91473096342196	-1647150.9864432956	10.073216110802454	1.4798224625372995	4.215625267319721	0.2614378147838125	0.2208485613102757	0.2313117293827946	0.28640189452311715	0.12018839345484998	8.392528423878727E-5	-1647150.9864432956	-74.50082024420777
14000	-1647170.4942106444	-25.779516666127105	-1647144.7146939782	3.758088586499602	0.6668196134827743	4.215625267319721	0.2614378147838125	0.2208485613102757	0.2313117293827946	0.28640189452311715	0.10848364430164059	2.2820301840376225E-4	-1647144.7146939782	-27.06533445038052
15000	-1647207.038291992	-52.13996260000369	-1647154.8983293918	6.687360379468889	1.2418862872354752	4.215625267319721	0.2614378147838125	0.2208485613102757	0.2313117293827946	0.28640189452311715	0.1400542980455628	1.299698668766029E-4	-1647154.8983293918	-54.675816715598536
16000	-1647214.2705061028	-61.10299134491867	-1647153.167514758	9.29350215634441	1.4197928153945092	4.215625267319721	0.2614378147838125	0.2208485613102757	0.2313117293827946	0.28640189452311715	0.1400542980455628	9.687442130576521E-5	-1647153.167514758	-64.32069910195592
17000	-1644093.6294437356	-60.193607047280224	-1644033.4358366884	9.466648579873548	1.6709383197916812	4.215625267319721	0.2647278316463951	0.21755854444769315	0.2313117293827946	0.28640189452311715	0.1089995004870529	9.330628217212295E-5	-1644033.4358366884	-63.34299141917279
18000	-1644124.917493392	-86.10404371074772	-1644038.8134496813	15.69683931381611	2.170289377410494	4.446349060515501	0.2647278316463951	0.21755854444769315	0.2313117293827946	0.28640189452311715	0.1089995004870529	5.7269583830834464E-5	-1644038.8134496813	-89.96310742918878
19000	-1644123.0808796105	-100.91453561323299	-1644022.1663439972	23.128764609609558	3.662340116130518	4.446349060515501	0.2647278316463951	0.21755854444769315	0.2313117293827946	0.28640189452311715	0.05640765090603176	3.9788707914500965E-5	-1644022.1663439972	-104.55985355681986
20000	-1637027.5773085419	-116.00617659370876	-1636911.5711319481	31.015664681606353	4.578419210855611	4.777778614696695	0.27324873757515367	0.2113080826669319	0.22904128523479725	0.28640189452311715	0.05506246976809726	2.885923126439774E-5	-1636911.5711319481	-119.56838980364324
21000	-1637045.7890721112	-130.54055522364084	-1636915.2485168877	43.99265205519502	7.904237144310982	4.777778614696695	0.27324873757515367	0.2113080826669319	0.22904128523479725	0.28640189452311715	0.05079734238750226	2.0273955318977852E-5	-1636915.2485168877	-133.06931182778257
22000	-1637018.2594776442	-131.14626339810488	-1636887.1132142462	43.90296462164476	8.279136848447392	4.777778614696695	0.27324873757515367	0.2113080826669319	0.22898280327381582	0.2864603764840986	0.04975434019597894	2.0629903564089908E-5	-1636887.1132142462	-133.5129602970983
23000	-1636969.7662372729	-87.54140952915891	-1636882.2248277438	16.553569593635775	2.5299953604944996	4.11435273618828	0.27324873757515367	0.2113080826669319	0.22898280327381582	0.2864603764840986	0.04975434019597894	5.401419954396779E-5	-1636882.2248277438	-91.46405667984618
24000	-1634517.9751037185	-99.38402360937569	-1634418.5910801091	20.992714183425825	3.8855260312263042	4.11435273618828	0.27324873757515367	0.2113080826669319	0.22278637042142066	0.29265680933649374	0.042966523896972975	4.164772114508373E-5	-1634418.5910801091	-102.93229623939779
25000	-1626321.4595537935	-96.36016162229004	-1626225.0993921713	19.30569184467876	4.41845907736432	4.434822296575125	0.286468270959467	0.2021266870246398	0.22278637042142066	0.2886186715944725	0.054190630476235034	4.5544884646275826E-5	-1626225.0993921713	-99.3028503965398
26000	-1626340.453830736	-115.53658903680564	-1626224.9172416993	29.340518804050557	5.928104277250927	4.365068089138097	0.286468270959467	0.2021266870246398	0.22278637042142066	0.2886186715944725	0.054190630476235034	3.007384584258432E-5	-1626224.9172416993	-118.47149546462815
27000	-1626307.3812497507	-120.00671431946074	-1626187.3745354314	31.05613558853048	6.319960448863305	4.454127935639511	0.286468270959467	0.2018881574250736	0.22302490002098685	0.2886186715944725	0.05826401807306322	2.7919231146884163E-5	-1626187.3745354314	-122.84235009491019
28000	-1624589.8271952544	-87.19346979682747	-1624502.6337254576	15.914675043467858	3.1112345649005912	4.454127935639511	0.286468270959467	0.19239669929815997	0.23251635814790048	0.2886186715944725	0.05826401807306322	5.700389365401172E-5	-1624502.6337254576	-90.45798496551471
29000	-1624578.1061627485	-75.08831438998367	-1624503.0178483585	11.58098052922176	2.917868027973733	4.454127935639511	0.286468270959467	0.19239669929815997	0.23251635814790048	0.2886186715944725	0.05826401807306322	7.7360699407015E-5	-1624503.0178483585	-77.7609240761658
30000	-1624564.1440249407	-63.43817967990551	-1624500.7058452608	8.879463749061012	2.1405123977660385	4.454127935639511	0.286468270959467	0.19239669929815997	0.23251635814790048	0.2886186715944725	0.061812486448588534	1.0261903245607022E-4	-1624500.7058452608	-65.9416767579928
31000	-1623018.919814807	-67.17681756060948	-1622951.7429972463	10.360750483575668	1.684121222186159	4.454127935639511	0.28921244127773965	0.19239669929815997	0.22977218782962777	0.2886186715944725	0.06848998830674394	8.639009424467328E-5	-1622951.7429972463	-70.53038208157082
32000	-1621699.5164374895	-85.52164715829187	-1621613.9947903312	16.159307991791206	2.737352528312518	4.454127935639511	0.2916800550063079	0.19239669929815997	0.22730457410105956	0.2886186715944725	0.06848998830674394	5.855835727429375E-5	-1621613.9947903312	-88.97056382642398
33000	-1621670.6969839118	-50.41694732410589	-1621620.2800365877	6.451450408735749	1.4863922687281352	4.454127935639511	0.2916800550063079	0.19239669929815997	0.22730457410105956	0.2886186715944725	0.05164638498612468	1.3516909222006544E-4	-1621620.2800365877	-52.70288393539985
34000	-1621479.0454790879	-55.47198589710997	-1621423.5734931908	8.054780175857926	1.1052870999338775	4.454127935639511	0.2916800550063079	0.191119333916797	0.22858193948242253	0.2886186715944725	0.05164638498612468	1.089495626050644E-4	-1621423.5734931908	-58.77100681106856
35000	-1621455.697474982	-35.52567704295593	-1621420.1717979389	5.152503633181999	0.8447171024418779	4.454127935639511	0.2916800550063079	0.191119333916797	0.22858193948242253	0.2886186715944725	0.07241736571245659	1.6971957251270506E-4	-1621420.1717979389	-37.66999990305998
36000	-1621354.915459979	-41.640791039324384	-1621313.2746689399	5.87934722632992	1.2019985069894041	4.454127935639511	0.2926266731122595	0.191119333916797	0.22858193948242253	0.28767205348852093	0.07241736571245659	1.507836441453298E-4	-1621313.2746689399	-43.81529047554721
37000	-1619851.3037978313	-58.30659498120873	-1619792.9972028502	8.802961355085483	1.6455336972161747	4.454127935639511	0.2926266731122595	0.18966060924916278	0.22683866654437443	0.2908740510942033	0.0642153963524563	9.974391390781699E-5	-1619792.9972028502	-61.313433097292176
38000	-1619873.7377719556	-87.99650769302839	-1619785.7412642625	17.67579305472051	3.0051300294436576	4.134975486971486	0.2926266731122595	0.18966060924916278	0.22683866654437443	0.2908740510942033	0.054686960550478586	5.231235981754764E-5	-1619785.7412642625	-91.6253711039363
