LABELS	cjie1	cjie2	cjie4	cjie5	pTet	pVir	Glucose	FucP	GGT	DMSO/TMAO	Vit12	Alchool	Sulfo	Arsenic 	Paratose	Heptose	AadE	Recomb
COLORS	#0000CD	#FF00FF	#FFA500	#00FF00	#DC143C	#FFD700	#FF8C00	#1E90FF	#00FFFF	#32CD32	#228B22	#4B0082	#E9967A	#808080	#FF69B4	#8B0000	#00CED1	#2F4F4F
25937	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	423
25959	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	422
26020	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	425
26031	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	424
26063	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	422
25975	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	403
25999	96	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	391
26034	96	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	392
26040	96	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	389
26054	96	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	390
25950	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	474
25989	0	0	0	0	0	79	100	100	100	0	0	0	0	0	0	100	0	474
25990	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	475
25991	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	475
26007	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	472
26058	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	474
26064	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	475
25947	0	0	0	0	96	79	100	100	100	0	0	0	0	0	0	100	0	472
26019	0	0	0	0	0	79	100	100	100	0	0	0	0	0	0	100	0	472
26043	0	0	0	0	0	79	100	100	100	0	0	0	0	0	0	100	0	472
25988	0	69	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	471
26015	0	69	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	472
26009	96	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	154
26022	96	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	154
2661-04	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	35
5441-04	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	33
5442-04	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	33
2912-08	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	31
2913-08	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	32
12xb-790	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	33
6175-12	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	32
6737-12	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	33
FB01379	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
FB01385	98	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
FB01401	98	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
FB01435	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
FB01513	99	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO27576	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO-27577	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO-27599	98	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO-27713	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO-27784	100	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO27805	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
KO27807	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
S23-1	98	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	0
25508	94	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	33
8623-12	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
8624-12	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	43
24039	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
22163	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
16091	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
16127	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
18376	0	0	0	0	77	0	0	0	100	100	100	100	0	100	0	0	0	49
24518	87	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	46
24521	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	49
25519	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
25944	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	47
25955	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	47
25963	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	45
26013	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	46
26051	97	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	47
24732	0	0	0	0	0	0	0	0	100	100	0	100	0	100	0	0	0	50
24810	0	0	0	0	0	0	0	0	100	100	0	100	0	100	0	0	0	49
21144	0	0	0	0	0	69	0	0	100	100	0	100	0	100	0	0	0	49
22218	0	0	0	0	0	69	0	0	100	100	0	100	0	100	0	0	0	49
25459	0	0	0	0	0	0	0	0	100	100	0	100	0	100	0	0	0	49
23884	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	35
23886	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	35
25512	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	35
25600	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	35
18430	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	46
21315	92	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	47
21380	99	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	52
